name,x_coordinate,y_coordinate,xy_type,uprn,statusdetail,status,sizecategory,primarytechnology
,387389,813263.3,From Data Source,10025445492,Potential,Potential,Unknown,Cooling Towers
Reclaimed Ground,400146,866683,From Data Source,151148308,Potential,Potential,Unknown,Cooling Towers
TESCO - AYR 2042,235210,622419,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
North Calliachar Wind Farm,285519,744254,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Craig Wind Farm (Extension),202000,557000,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
California Wind Farm,250945,554878,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Plascow wind cluster (resubmission),287380,563820,From Data Source,,Operational,Actual,Large (1MW+),Wind
Annabaglish Wind Farm,228450,557980,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Wether Hill WindFarm (extension),270506,593932,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
TESCO - BELLSHILL 6003,273259,660359,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
BARLOCKHART MOOR - extension,222700,557109,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Glenmuckloch Wind Farm,270269,615690,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Carscreugh Renewable Energy Park,225000,555000,From Data Source,,Operational,Actual,Large (1MW+),Wind
Whiteside Hill,271440,608920,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Margree Windfarm,267500,586500,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
TESCO - ANNAN 6052,320122,566491,Postcode Centroid,,,Potential,Small to medium (>45kW and <1MW),Trigeneration
North Rhins,201980,557960,From Data Source,,Operational,Actual,Large (1MW+),Wind
Ulzieside,273560,605960,From Data Source,,Application Submitted,Potential,Large (1MW+),Wind
Jacksbank Wind Farm (Glenbervie),376574,783246,From Data Source,,Operational,Actual,Large (1MW+),Wind
Sunnyside wind cluster,276612,611178,From Data Source,,Under Construction,Actual,Large (1MW+),Wind
Keith Hill Wind Farm,348373,658532,From Data Source,,Awaiting Construction,Actual,Large (1MW+),Wind
Minsca,313821,581690,From Data Source,,Operational,Actual,Large (1MW+),Wind
